@relation 'Crafting materials-weka.filters.unsupervised.attribute.Remove-R1-10,12'

@attribute 01_change_type {D,U,S}
@attribute p_change_day1_to_day2 numeric
@attribute p_change_day2_to_day3 numeric
@attribute p_change_day3_to_day4 numeric
@attribute p_change_day4_to_day5 numeric
@attribute p_change_day5_to_day6 numeric
@attribute p_change_day6_to_day7 numeric
@attribute p_change_day7_to_day8 numeric
@attribute p_change_day8_to_day9 numeric
@attribute p_change_day9_to_day10 numeric
@attribute p_change_day10_to_day11 numeric
@attribute p_change_day11_to_day12 numeric
@attribute p_change_day12_to_day13 numeric
@attribute p_change_day13_to_day14 numeric
@attribute p_change_day14_to_day15 numeric
@attribute p_change_day15_to_day16 numeric
@attribute p_change_day16_to_day17 numeric
@attribute p_change_day17_to_day18 numeric
@attribute p_change_day18_to_day19 numeric
@attribute p_change_day19_to_day20 numeric
@attribute p_change_day20_to_day21 numeric
@attribute p_change_day21_to_day22 numeric
@attribute p_change_day22_to_day23 numeric
@attribute p_change_day23_to_day24 numeric
@attribute p_change_day24_to_day25 numeric
@attribute p_change_day25_to_day26 numeric
@attribute p_change_day26_to_day27 numeric
@attribute p_change_day27_to_day28 numeric
@attribute p_change_day28_to_day29 numeric

@data
D,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067,2.861953,0.042105,-4.040404,-3.093187,-3.476946
D,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067,2.861953,0.042105,-4.040404,-3.093187
D,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067,2.861953,0.042105,-4.040404
D,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067,2.861953,0.042105
D,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067,2.861953
U,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064,4.869067
U,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064
U,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831
U,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241
U,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829
U,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529
U,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895
D,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451
D,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703
D,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227
U,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191
D,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876
U,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264
U,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478
U,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552
U,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611
D,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175
U,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383
D,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089
D,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757
D,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285
D,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629
D,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931
D,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072
D,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703
D,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221
U,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347
U,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706
U,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344
U,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984
U,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208
U,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331
U,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061
U,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577
U,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158
U,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304
D,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585
D,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222
U,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606
U,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189
D,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095
U,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496
D,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467
U,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365
U,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213
U,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5
U,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582
U,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429
D,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063
D,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149
U,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708
U,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571
U,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288
D,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061
D,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734,2.278275
D,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151,3.261734
D,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387,4.8151
U,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571,4.226387
U,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909,3.455571
U,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663,1.601909
U,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518,2.683663
U,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383,2.515518
U,3.312946,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271,2.071383
U,0.542674,3.312946,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766,1.311271
D,0.662414,0.542674,3.312946,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429,-1.047766
D,-5.020717,0.662414,0.542674,3.312946,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946,-0.311429
D,-5.003849,-5.020717,0.662414,0.542674,3.312946,3.645008,0.291391,0.639829,2.402402,-0.380745,-1.658197,-2.528676,-2.367015,1.028542,2.395998,1.686747,-0.080257,-0.743494,2.783843,1.636616,2.153585,1.378914,3.140741,-0.64763,1.251863,-2.158064,3.626473,3.373946
